HOMOGENIZED MONTHLY VALUES

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region
18700	OSLO (R)	1937	 	94	59.9423	10.7200	Oslo	Oslo	SOUTHEASTERN NORWAY

In the table above is the homogene timeserie name and period used. R means reconstructed station timeserie.

Elements
Code	Name	Unit
TAM	Mean temperature	degC



St.no	Month	TAM
18700	03.1904	-1.4
18700	04.1904	4.2
18700	05.1904	8.3
18700	06.1904	14.8
18700	07.1904	17.2
18700	08.1904	15.4
18700	09.1904	11.0
18700	10.1904	6.3
18700	11.1904	-1.3
18700	12.1904	-3.3
18700	01.1905	-2.4
18700	02.1905	-0.8
18700	03.1905	1.2
18700	04.1905	3.2
18700	05.1905	10.5
18700	06.1905	16.7
18700	07.1905	17.5
18700	08.1905	13.9
18700	09.1905	10.7
18700	10.1905	2.5
18700	11.1905	-0.1
18700	12.1905	-0.8
18700	01.1906	-2.4
18700	02.1906	-1.7
18700	03.1906	-0.2
18700	04.1906	5.1
18700	05.1906	10.4
18700	06.1906	16.9
18700	07.1906	16.4
18700	08.1906	14.9
18700	09.1906	11.7
18700	10.1906	6.3
18700	11.1906	2.7
18700	12.1906	-2.4
18700	01.1907	-4.9
18700	02.1907	-2.4
18700	03.1907	0.9
18700	04.1907	4.6
18700	05.1907	8.5
18700	06.1907	13.0
18700	07.1907	15.2
18700	08.1907	12.9
18700	09.1907	10.4
18700	10.1907	9.4
18700	11.1907	1.9
18700	12.1907	-4.9
18700	01.1908	-3.7
18700	02.1908	0.1
18700	03.1908	-2.4
18700	04.1908	4.2
18700	05.1908	9.2
18700	06.1908	14.7
18700	07.1908	16.9
18700	08.1908	15.5
18700	09.1908	10.4
18700	10.1908	7.4
18700	11.1908	0.0
18700	12.1908	-1.0
18700	01.1909	-1.7
18700	02.1909	-5.3
18700	03.1909	-2.3
18700	04.1909	2.9
18700	05.1909	7.5
18700	06.1909	14.7
18700	07.1909	15.8
18700	08.1909	14.7
18700	09.1909	10.8
18700	10.1909	8.3
18700	11.1909	-1.3
18700	12.1909	-3.1
18700	01.1910	-4.5
18700	02.1910	0.0
18700	03.1910	1.8
18700	04.1910	5.2
18700	05.1910	11.2
18700	06.1910	15.4
18700	07.1910	16.2
18700	08.1910	15.3
18700	09.1910	11.9
18700	10.1910	5.8
18700	11.1910	-0.6
18700	12.1910	-1.8
18700	01.1911	-2.6
18700	02.1911	-1.2
18700	03.1911	0.8
18700	04.1911	5.0
18700	05.1911	12.2
18700	06.1911	14.7
18700	07.1911	17.5
18700	08.1911	16.9
18700	09.1911	12.2
18700	10.1911	3.6
18700	11.1911	0.9
18700	12.1911	0.5
18700	01.1912	-7.2
18700	02.1912	-3.9
18700	03.1912	1.9
18700	04.1912	4.3
18700	05.1912	10.1
18700	06.1912	15.0
18700	07.1912	18.1
18700	08.1912	14.6
18700	09.1912	9.4
18700	10.1912	4.4
18700	11.1912	0.1
18700	12.1912	-0.1
18700	01.1913	-4.3
18700	02.1913	-0.8
18700	03.1913	2.0
18700	04.1913	5.6
18700	05.1913	11.4
18700	06.1913	14.6
18700	07.1913	17.7
18700	08.1913	14.4
18700	09.1913	11.3
18700	10.1913	6.3
18700	11.1913	3.3
18700	12.1913	-3.6
18700	01.1914	-5.9
18700	02.1914	0.7
18700	03.1914	-0.3
18700	04.1914	6.3
18700	05.1914	9.3
18700	06.1914	15.9
18700	07.1914	21.0
18700	08.1914	16.4
18700	09.1914	12.0
18700	10.1914	5.7
18700	11.1914	0.5
18700	12.1914	0.9
18700	01.1915	-4.9
18700	02.1915	-1.9
18700	03.1915	-1.9
18700	04.1915	4.4
18700	05.1915	9.3
18700	06.1915	13.9
18700	07.1915	15.5
18700	08.1915	15.0
18700	09.1915	9.8
18700	10.1915	3.2
18700	11.1915	-1.8
18700	12.1915	-8.9
18700	01.1916	-1.0
18700	02.1916	-2.2
18700	03.1916	-1.8
18700	04.1916	4.5
18700	05.1916	10.3
18700	06.1916	12.8
18700	07.1916	17.2
18700	08.1916	15.0
18700	09.1916	10.3
18700	10.1916	4.3
18700	11.1916	3.1
18700	12.1916	-1.5
18700	01.1917	-11.0
18700	02.1917	-5.8
18700	03.1917	-3.6
18700	04.1917	2.1
18700	05.1917	10.1
18700	06.1917	16.3
18700	07.1917	16.6
18700	08.1917	17.3
18700	09.1917	12.3
18700	10.1917	6.2
18700	11.1917	0.7
18700	12.1917	-4.3
18700	01.1918	-6.5
18700	02.1918	-1.7
18700	03.1918	-0.4
18700	04.1918	5.5
18700	05.1918	12.2
18700	06.1918	13.6
18700	07.1918	16.8
18700	08.1918	15.5
18700	09.1918	9.4
18700	10.1918	7.9
18700	11.1918	1.9
18700	12.1918	-2.4
18700	01.1919	-1.7
18700	02.1919	-6.2
18700	03.1919	-0.9
18700	04.1919	3.9
18700	05.1919	12.8
18700	06.1919	13.9
18700	07.1919	18.9
18700	08.1919	13.9
18700	09.1919	11.8
18700	10.1919	5.0
18700	11.1919	-2.7
18700	12.1919	-5.5
18700	01.1920	-5.0
18700	02.1920	0.4
18700	03.1920	3.0
18700	04.1920	5.0
18700	05.1920	10.7
18700	06.1920	15.6
18700	07.1920	16.0
18700	08.1920	14.0
18700	09.1920	11.3
18700	10.1920	3.8
18700	11.1920	1.8
18700	12.1920	-2.3
18700	01.1921	-1.9
18700	02.1921	-2.5
18700	03.1921	3.2
18700	04.1921	8.2
18700	05.1921	10.9
18700	06.1921	14.2
18700	07.1921	17.1
18700	08.1921	14.0
18700	09.1921	10.5
18700	10.1921	7.1
18700	11.1921	-1.1
18700	12.1921	-1.5
18700	01.1922	-5.5
18700	02.1922	-3.5
18700	03.1922	-0.6
18700	04.1922	3.0
18700	05.1922	9.6
18700	06.1922	14.3
18700	07.1922	15.8
18700	08.1922	14.1
18700	09.1922	10.2
18700	10.1922	3.9
18700	11.1922	0.4
18700	12.1922	-0.9
18700	01.1923	0.3
18700	02.1923	-5.1
18700	03.1923	-0.1
18700	04.1923	3.6
18700	05.1923	8.0
18700	06.1923	11.7
18700	07.1923	16.9
18700	08.1923	13.8
18700	09.1923	10.5
18700	10.1923	5.9
18700	11.1923	-1.8
18700	12.1923	-4.8
18700	01.1924	-3.8
18700	02.1924	-5.1
18700	03.1924	-3.2
18700	04.1924	2.8
18700	05.1924	8.5
18700	06.1924	13.6
18700	07.1924	15.6
18700	08.1924	15.1
18700	09.1924	12.2
18700	10.1924	7.2
18700	11.1924	1.2
18700	12.1924	2.2
18700	01.1925	-0.4
18700	02.1925	0.4
18700	03.1925	-1.2
18700	04.1925	5.4
